,DATE,BASEL_pleasant_weather,BELGRADE_pleasant_weather,BUDAPEST_pleasant_weather,DEBILT_pleasant_weather,DUSSELDORF_pleasant_weather,HEATHROW_pleasant_weather,KASSEL_pleasant_weather,LJUBLJANA_pleasant_weather,MAASTRICHT_pleasant_weather,MADRID_pleasant_weather,MUNCHENB_pleasant_weather,OSLO_pleasant_weather,SONNBLICK_pleasant_weather,STOCKHOLM_pleasant_weather,VALENTIA_pleasant_weather
18414,2010-06-01,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0
18415,2010-06-02,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0
18416,2010-06-03,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0
18417,2010-06-04,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0
18418,2010-06-05,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0
18419,2010-06-06,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0
18420,2010-06-07,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
18421,2010-06-08,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
18422,2010-06-09,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0
18423,2010-06-10,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
18424,2010-06-11,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0
18425,2010-06-12,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
18426,2010-06-13,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0
18427,2010-06-14,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
18428,2010-06-15,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0
18429,2010-06-16,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0
18430,2010-06-17,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0
18431,2010-06-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18432,2010-06-19,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
18433,2010-06-20,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
18434,2010-06-21,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0
18435,2010-06-22,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0
18436,2010-06-23,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
18437,2010-06-24,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0
18438,2010-06-25,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0
18439,2010-06-26,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0
18440,2010-06-27,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
18441,2010-06-28,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0
